nb_loan_number,nb_original_balance,nb_original_fico,nb_debt_ratio,nb_original_rate,nb_original_ltv,nb_original_cltv,nb_unit_count,nb_original_term,nb_io_term,nb_origination_date,nb_maturity_date,nb_purpose_code,nb_occupancy_code,nb_documentation_type_code,nb_property_type_code,nb_property_zip_code
121,297500,607,NULL,NULL,85,0,1,360,NULL,11/16/04,12/1/34,Purchase,NotOwner,LimitedDocs,SingleFamily,60612
122,136500,564,NULL,NULL,70,0,1,360,NULL,12/31/04,1/1/35,RefiWithCash,Owner,AllDocs,SingleFamily,60440
123,160000,535,NULL,NULL,57.14,0,1,360,NULL,11/24/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,60004
124,54400,657,NULL,NULL,80,0,1,360,NULL,11/29/04,12/1/34,RefiWithCash,NotOwner,AllDocs,SingleFamily,46203
125,211817.6,554,NULL,NULL,80,0,1,360,NULL,11/30/04,12/1/34,Purchase,Owner,LimitedDocs,Condo,60047
126,186000,503,NULL,NULL,60,0,1,360,NULL,11/17/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,60142
127,251750,606,NULL,NULL,95,0,1,360,NULL,11/29/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,60188
128,124800,644,NULL,NULL,80,100,1,360,NULL,11/29/04,12/1/34,Purchase,Owner,LimitedDocs,Condo,60561
129,62400,604,NULL,NULL,80,0,1,360,NULL,11/29/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,47338
130,183200,520,NULL,NULL,80,0,1,360,NULL,11/30/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,60482
131,157000,641,NULL,NULL,82.63,0,1,360,60,12/20/04,1/1/35,RefiWithCash,Owner,LimitedDocs,SingleFamily,49319
132,50250,NULL,NULL,NULL,75,0,2,360,NULL,12/22/04,1/1/35,RefiWithCash,Owner,AllDocs,Multi,46205
133,112000,NULL,NULL,NULL,80,0,1,360,NULL,8/17/04,9/1/34,Purchase,Owner,AllDocs,SingleFamily,30701
134,64600,609,NULL,NULL,95,0,1,360,NULL,9/27/04,10/1/34,Purchase,Owner,AllDocs,SingleFamily,31404
