bor_credit_score,curr_int_rate,curr_upb,first_pay_date,first_time_hb_flag,loan_channel,loan_id,loan_product_type,loan_purpose,loan_state,maturity_date,numb_of_borr,numb_of_units,orig_dti,orig_int_rate,orig_loan_term,orig_ltv,orig_upb,property_occupancy,property_type,servicer_name
817,3.75,93500,9/1/16,NO,RETAIL,5988031176,FRM,REFINANCE,CA,Aug-46,1,1,25,3.75,360,21,93500,PRINCIPAL,SF,CENTRALMORTGAGECOMPANY
809,3.75,150000,9/1/16,NO,RETAIL,5988031177,FRM,REFINANCE,CA,Aug-46,2,1,28,3.75,360,42,150000,PRINCIPAL,SF,CENTRALMORTGAGECOMPANY
788,3.875,140000,9/1/16,NO,RETAIL,5988031178,FRM,REFINANCE,CA,Aug-46,1,1,43,3.875,360,53,140000,PRINCIPAL,PUD,CENTRALMORTGAGECOMPANY
813,3.75,305900,9/1/16,NO,RETAIL,5988031179,FRM,REFINANCE,CA,Aug-46,2,1,22,3.75,360,73,305900,PRINCIPAL,PUD,CENTRALMORTGAGECOMPANY
726,3.75,261000,9/1/16,NO,RETAIL,5988031180,FRM,REFINANCE,CA,Aug-41,2,1,34,3.75,300,69,261000,PRINCIPAL,SF,CENTRALMORTGAGECOMPANY
772,3.75,417000,9/1/16,YES,RETAIL,5988031181,FRM,PURCHASE,CA,Aug-46,1,1,22,3.75,360,71,417000,PRINCIPAL,SF,CENTRALMORTGAGECOMPANY
801,3.625,335000,9/1/16,NO,RETAIL,5988031182,FRM,PURCHASE,CA,Aug-46,2,1,29,3.625,360,65,335000,PRINCIPAL,SF,CENTRALMORTGAGECOMPANY
790,3.75,301600,9/1/16,NO,BROKER,5988031184,FRM,PURCHASE,CA,Aug-46,1,1,43,3.75,360,95,301600,PRINCIPAL,PUD,CENTRALMORTGAGECOMPANY
788,3.75,386000,9/1/16,NO,BROKER,5988031185,FRM,REFINANCE,CA,Aug-46,1,1,45,3.75,360,71,386000,PRINCIPAL,SF,CENTRALMORTGAGECOMPANY
724,3.5,348000,9/1/16,YES,BROKER,5988031188,FRM,PURCHASE,CA,Aug-46,2,1,40,3.5,360,80,348000,PRINCIPAL,PUD,CENTRALMORTGAGECOMPANY
