nb_loan_number nb_original_balance nb_original_fico nb_debt_ratio nb_original_rate nb_original_ltv nb_original_cltv nb_unit_count nb_original_term nb_io_term nb_origination_date nb_maturity_date nb_purpose_code nb_occupancy_code nb_documentation_type_code nb_property_type_code nb_property_zip_code
175 99200.00 609 NULL NULL 80.0000 100.0000 1 360 NULL 2004-08-06 2034-09-01 Purchase Owner AllDocs PUD 33569
176 60400.00 719 NULL NULL 80.0000 0.0000 1 360 NULL 2004-08-12 2034-09-01 Purchase NotOwner AllDocs SingleFamily 32176
177 131992.00 547 NULL NULL 80.0000 0.0000 1 360 NULL 2004-08-25 2034-09-01 Purchase Owner AllDocs PUD 33544
178 125000.00 577 NULL NULL 62.5000 0.0000 1 360 NULL 2004-11-29 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 34108
179 116000.00 587 NULL NULL 80.0000 0.0000 1 360 NULL 2004-10-18 2034-11-01 RefiWithCash Owner AllDocs SingleFamily 33993
180 85000.00 NULL NULL NULL 51.8300 0.0000 1 360 NULL 2004-11-24 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 34116
181 147200.00 648 NULL NULL 73.4200 87.1800 1 360 NULL 2004-11-24 2034-12-01 Purchase Owner LimitedDocs SingleFamily 33980
182 124480.00 650 NULL NULL 80.0000 100.0000 1 360 NULL 2004-11-29 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 33971
183 102400.00 612 NULL NULL 80.0000 100.0000 1 360 NULL 2004-11-16 2034-12-01 Purchase Owner AllDocs SingleFamily 33637
184 144000.00 568 NULL NULL 80.0000 0.0000 1 360 NULL 2004-12-06 2035-01-01 RefiWithCash Owner LimitedDocs SingleFamily 34293
185 157250.00 568 NULL NULL 85.0000 0.0000 1 360 NULL 2004-11-24 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 33435
186 300000.00 619 NULL NULL 60.0000 0.0000 1 360 NULL 2004-11-08 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 33629
