,Borrower_id,CrntRgstn_st,DRP_hasBankrupt,DRP_hasBond,DRP_hasCivilJudc,DRP_hasCriminal,DRP_hasCustComp,DRP_hasInvstgn,DRP_hasJudgment,DRP_hasRegAction,DRP_hasTermination,Info_actvAGReg,Score,reliable
1714,95688,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1715,95727,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1716,95763,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1717,95904,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1718,95999,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1719,96009,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1720,96015,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1721,96048,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1722,96081,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1723,96115,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1724,96208,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1725,96218,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1726,96227,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1727,96271,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1728,96299,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1729,96318,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1730,96325,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1731,96380,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1732,96402,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1733,96487,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1734,96529,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1735,96533,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1736,96579,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1737,96592,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0,1,4588.920089,yes
1738,96632,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1739,96661,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1740,96766,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1741,96796,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1742,96917,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1743,96927,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1744,96937,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1745,96948,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1746,96962,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1747,96977,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1748,96988,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1749,97022,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1750,97036,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1751,97146,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1752,97180,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1753,97199,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1754,97219,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1755,97319,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1756,97329,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1757,97333,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1758,97336,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1759,97347,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0,1,4588.920089,yes
1760,97384,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1761,97401,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1762,97424,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1763,97575,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1764,97602,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1765,97608,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1766,97649,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
